time,mass_concentration_of_chlorophyll_in_sea_water_ctd,mass_concentration_of_chlorophyll_in_sea_water_ctd_qc_agg,z
UTC,microg.L-1,,m
2021-09-17T08:34:25Z,3.96,1,0
2021-09-17T08:38:12Z,NaN,2,0
2021-09-17T08:38:25Z,3.99,1,0
2021-09-17T08:42:12Z,NaN,2,0
2021-09-17T08:42:25Z,3.98,1,0
2021-09-17T08:46:12Z,NaN,2,0
2021-09-17T08:46:25Z,4.03,1,0
2021-09-17T08:50:12Z,NaN,2,0
2021-09-17T08:50:25Z,4.05,1,0
2021-09-17T08:54:12Z,NaN,2,0
2021-09-17T08:54:25Z,4.06,1,0
2021-09-17T08:58:12Z,NaN,2,0
2021-09-17T08:58:25Z,4.07,1,0
2021-09-17T09:02:12Z,NaN,2,0
2021-09-17T09:02:25Z,4.09,1,0
